flight_id,carrier,origin,dest,scheduled_departure,departure_delay,arrival_delay,air_time,distance
1,UA,LAX,SFO,2023-01-01 00:00:00,0.0,36.0,159,1028
2,JB,LAX,SEA,2023-01-01 01:00:00,6.0,-10.0,137,879
3,JB,DEN,ATL,2023-01-01 02:00:00,0.0,5.0,85,738
4,AA,JFK,SEA,2023-01-01 03:00:00,4.0,32.0,99,1199
5,DL,LAX,SFO,2023-01-01 04:00:00,5.0,-3.0,168,827
6,UA,DFW,PHX,2023-01-01 05:00:00,26.0,6.0,157,991
7,JB,JFK,SEA,2023-01-01 06:00:00,16.0,-6.0,147,1050
8,JB,JFK,SFO,2023-01-01 07:00:00,0.0,-8.0,169,750
9,AA,ORD,MIA,2023-01-01 08:00:00,0.0,14.0,72,709
10,DL,ORD,SEA,2023-01-01 09:00:00,0.0,6.0,186,1090
11,UA,LAX,SFO,2023-01-01 10:00:00,0.0,48.0,94,1067
12,SW,ORD,PHX,2023-01-01 11:00:00,,-2.0,156,978
13,UA,ORD,SEA,2023-01-01 12:00:00,28.0,-10.0,110,632
14,UA,DFW,SEA,2023-01-01 13:00:00,24.0,26.0,136,1004
15,SW,ORD,PHX,2023-01-01 14:00:00,62.0,21.0,190,844
16,DL,JFK,ATL,2023-01-01 15:00:00,27.0,21.0,76,691
17,UA,JFK,MIA,2023-01-01 16:00:00,38.0,27.0,33,829
18,AA,LAX,SEA,2023-01-01 17:00:00,39.0,0.0,148,842
19,SW,LAX,SFO,2023-01-01 18:00:00,21.0,7.0,135,758
20,JB,JFK,SEA,2023-01-01 19:00:00,0.0,10.0,117,1427
21,AA,DFW,SFO,2023-01-01 20:00:00,4.0,-10.0,148,698
22,UA,JFK,ATL,2023-01-01 21:00:00,11.0,13.0,177,888
23,AA,DEN,SEA,2023-01-01 22:00:00,0.0,,217,1045
24,JB,DEN,MIA,2023-01-01 23:00:00,35.0,-4.0,109,1041
25,SW,JFK,PHX,2023-01-02 00:00:00,0.0,-10.0,135,1151
26,UA,JFK,MIA,2023-01-02 01:00:00,0.0,-10.0,146,1336
27,UA,JFK,PHX,2023-01-02 02:00:00,0.0,12.0,126,666
28,JB,DEN,PHX,2023-01-02 03:00:00,0.0,-10.0,126,1093
29,UA,DEN,SEA,2023-01-02 04:00:00,0.0,-10.0,153,398
30,UA,JFK,SFO,2023-01-02 05:00:00,2.0,12.0,106,1003
31,AA,LAX,PHX,2023-01-02 06:00:00,5.0,6.0,124,747
32,DL,JFK,ATL,2023-01-02 07:00:00,0.0,2.0,172,663
33,JB,LAX,SEA,2023-01-02 08:00:00,8.0,6.0,123,692
34,AA,DEN,ATL,2023-01-02 09:00:00,42.0,0.0,66,565
35,JB,DEN,SFO,2023-01-02 10:00:00,9.0,-3.0,137,632
36,SW,ORD,ATL,2023-01-02 11:00:00,34.0,36.0,102,1114
37,JB,ORD,SEA,2023-01-02 12:00:00,0.0,-8.0,122,1003
38,DL,ORD,SEA,2023-01-02 13:00:00,1.0,-10.0,59,717
39,SW,JFK,PHX,2023-01-02 14:00:00,28.0,0.0,175,569
40,SW,DFW,PHX,2023-01-02 15:00:00,7.0,6.0,94,1254
41,UA,JFK,ATL,2023-01-02 16:00:00,0.0,2.0,153,559
42,AA,DEN,SFO,2023-01-02 17:00:00,0.0,32.0,190,1158
43,SW,DEN,SFO,2023-01-02 18:00:00,10.0,-10.0,119,747
44,AA,DEN,PHX,2023-01-02 19:00:00,55.0,0.0,158,578
45,UA,LAX,PHX,2023-01-02 20:00:00,8.0,13.0,118,385
46,JB,ORD,MIA,2023-01-02 21:00:00,,3.0,132,325
47,AA,DFW,PHX,2023-01-02 22:00:00,0.0,-10.0,115,973
48,JB,JFK,SFO,2023-01-02 23:00:00,0.0,-10.0,47,269
49,SW,DFW,MIA,2023-01-03 00:00:00,3.0,-10.0,103,906
50,JB,DEN,SEA,2023-01-03 01:00:00,65.0,-10.0,105,1225
51,UA,LAX,PHX,2023-01-03 02:00:00,0.0,41.0,118,799
52,DL,ORD,SEA,2023-01-03 03:00:00,34.0,-10.0,124,882
53,DL,DEN,ATL,2023-01-03 04:00:00,0.0,27.0,78,164
54,AA,DFW,PHX,2023-01-03 05:00:00,0.0,-10.0,146,1238
55,JB,JFK,SEA,2023-01-03 06:00:00,0.0,13.0,77,1029
56,DL,JFK,SFO,2023-01-03 07:00:00,36.0,23.0,68,743
57,JB,DEN,PHX,2023-01-03 08:00:00,15.0,12.0,43,1109
58,DL,JFK,ATL,2023-01-03 09:00:00,0.0,4.0,92,689
59,SW,JFK,ATL,2023-01-03 10:00:00,0.0,-5.0,92,790
60,SW,DFW,SFO,2023-01-03 11:00:00,19.0,37.0,126,1100
61,JB,DFW,SFO,2023-01-03 12:00:00,81.0,1.0,85,181
62,AA,DEN,SEA,2023-01-03 13:00:00,0.0,20.0,33,873
63,UA,ORD,SEA,2023-01-03 14:00:00,0.0,6.0,133,687
64,UA,JFK,PHX,2023-01-03 15:00:00,52.0,,116,753
65,DL,LAX,PHX,2023-01-03 16:00:00,29.0,-10.0,93,1377
66,JB,DEN,MIA,2023-01-03 17:00:00,0.0,50.0,148,971
67,JB,JFK,ATL,2023-01-03 18:00:00,32.0,40.0,72,603
68,UA,ORD,ATL,2023-01-03 19:00:00,17.0,3.0,151,1274
69,JB,JFK,SEA,2023-01-03 20:00:00,0.0,0.0,30,1125
70,JB,DEN,ATL,2023-01-03 21:00:00,21.0,11.0,120,1201
71,SW,DEN,ATL,2023-01-03 22:00:00,0.0,-4.0,167,825
72,DL,DEN,PHX,2023-01-03 23:00:00,0.0,-6.0,146,1241
73,JB,LAX,SEA,2023-01-04 00:00:00,6.0,-10.0,115,642
74,SW,ORD,MIA,2023-01-04 01:00:00,46.0,5.0,97,744
75,JB,JFK,PHX,2023-01-04 02:00:00,78.0,-10.0,79,1007
76,AA,DFW,ATL,2023-01-04 03:00:00,103.0,-10.0,142,1321
77,JB,DEN,ATL,2023-01-04 04:00:00,99.0,-6.0,179,855
78,JB,DFW,MIA,2023-01-04 05:00:00,35.0,26.0,116,726
79,JB,DEN,PHX,2023-01-04 06:00:00,12.0,-10.0,135,656
80,DL,LAX,MIA,2023-01-04 07:00:00,27.0,-10.0,106,916
81,SW,DEN,ATL,2023-01-04 08:00:00,0.0,24.0,78,917
82,JB,JFK,PHX,2023-01-04 09:00:00,21.0,33.0,145,680
83,SW,ORD,ATL,2023-01-04 10:00:00,0.0,25.0,175,555
84,AA,DEN,SFO,2023-01-04 11:00:00,0.0,-6.0,186,969
85,JB,DEN,SFO,2023-01-04 12:00:00,,-10.0,85,918
86,AA,LAX,PHX,2023-01-04 13:00:00,4.0,0.0,162,921
87,AA,LAX,SEA,2023-01-04 14:00:00,33.0,-10.0,54,1007
88,DL,LAX,SEA,2023-01-04 15:00:00,19.0,44.0,155,1209
89,UA,LAX,PHX,2023-01-04 16:00:00,13.0,-5.0,89,988
90,UA,DEN,PHX,2023-01-04 17:00:00,4.0,38.0,157,1021
91,AA,DEN,PHX,2023-01-04 18:00:00,28.0,-10.0,159,422
92,JB,DEN,SFO,2023-01-04 19:00:00,20.0,-2.0,108,921
